MinimaxAgent,4,trappedClassic,-501,1.40E-03
AlphaBetaAgent,2,trappedClassic,-501,6.89E-04
AlphaBetaAgent,3,trappedClassic,-501,8.37E-04
AlphaBetaAgent,4,trappedClassic,-501,9.82E-04
RandomExpectimaxAgent,2,trappedClassic,236.57,5.92E-04
RandomExpectimaxAgent,3,trappedClassic,-58.86,8.67E-04
RandomExpectimaxAgent,4,trappedClassic,-58.86,9.94E-04
,,,,
ReflexAgent,1,trickyClassic,232.71,1.79E-04
BetterAgent,1,trickyClassic,284.86,1.66E-04
MinimaxAgent,2,trickyClassic,813.29,5.20E-03
MinimaxAgent,3,trickyClassic,517.86,5.78E-02
MinimaxAgent,4,trickyClassic,754.86,4.49E-01
AlphaBetaAgent,2,trickyClassic,226.57,3.53E-03
AlphaBetaAgent,3,trickyClassic,1075.57,1.63E-02
AlphaBetaAgent,4,trickyClassic,666.57,7.45E-02
RandomExpectimaxAgent,2,trickyClassic,604.57,6.07E-03
RandomExpectimaxAgent,3,trickyClassic,1038.14,6.21E-02
RandomExpectimaxAgent,4,trickyClassic,1055.43,5.23E-01
